Date, Instance, Algorithm, RandSeed, Duration, IterCount, GenerationCount, Optima, Solution
2014-11-06 Thu 11:12:51, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243564, 6.872, 0, 0, 1, 1 1 0 3 0 0 1 2 4 2 2 4 4 0 4 3 3 0 1 3 4 0 3 3 1 2 3 0 0 1 0 3 1 0 1 4 2 2 1 4 4 3 2 2 2 3 0 4 3 1 0 2 3 2 0 3 3 4 4 1 1 1 4 1 3 3 3 4 2 1 1 0 2 2 4 2 3 4 4 3 4 1 3 2 1 2 4 1 3 4 2 3 0 0 4 0 1 2 1 3 0 1 1 0 4 4 4 2 1 0 0 1 4 4 2 1 4 4 3 4 3 1 2 2 2 
2014-11-06 Thu 11:14:41, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243681, 0.096, 90000, 8, 0, 1 2 1 4 3 1 2 1 3 0 3 1 2 1 2 3 1 2 4 0 3 0 1 1 2 1 4 2 4 1 1 4 4 3 0 1 3 0 3 4 4 0 3 0 0 3 4 2 2 2 3 0 3 3 4 3 0 3 1 2 2 2 2 2 4 0 2 1 3 0 2 2 4 4 3 2 0 1 0 3 1 2 4 4 2 3 4 2 1 1 4 1 3 4 3 1 2 0 0 4 1 2 2 1 0 1 1 1 4 3 1 2 0 1 0 3 4 2 0 2 1 2 0 1 1 
2014-11-06 Thu 11:14:43, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243683, 0.242, 280000, 27, 0, 2 0 1 4 0 2 0 3 0 4 2 2 2 3 2 0 4 0 1 1 2 0 4 1 2 2 4 2 4 3 3 3 3 0 4 3 3 3 4 1 3 4 0 4 3 1 4 3 4 2 1 1 1 1 3 0 4 0 2 2 2 2 0 1 4 4 1 3 3 1 3 3 4 0 3 2 4 1 1 0 3 4 4 3 2 1 1 0 4 3 4 3 0 0 1 1 2 2 1 4 1 0 1 3 1 3 2 2 1 0 4 2 0 3 2 0 3 3 4 3 4 0 1 2 3 
2014-11-06 Thu 11:14:53, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243685, 7.881, 10000000, 1000, 1, 3 3 0 0 0 2 3 1 4 2 1 2 4 1 4 3 1 3 4 0 4 0 3 0 3 1 1 3 4 2 0 0 1 4 1 4 1 4 0 0 4 0 2 2 2 0 1 3 3 2 2 0 0 2 0 3 0 4 4 4 3 4 3 3 2 0 4 4 1 2 4 3 1 2 1 4 2 4 4 2 4 3 3 2 3 2 0 2 1 1 1 3 0 3 1 0 3 2 2 0 1 3 3 0 4 4 4 1 4 0 1 3 2 1 2 3 4 1 2 4 4 3 1 2 1 
2014-11-06 Thu 11:16:01, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243760, 0.47, 540000, 53, 0, 4 0 1 0 1 4 1 4 1 0 2 2 3 4 3 3 4 3 3 2 3 0 0 1 3 4 1 2 0 0 4 1 2 3 0 3 4 2 0 1 2 0 3 2 4 1 4 4 0 3 3 3 3 1 4 3 1 1 2 2 2 2 4 3 2 0 3 1 1 0 4 3 0 1 1 3 0 4 2 0 4 2 0 2 3 3 1 3 0 4 2 4 1 1 3 4 3 2 2 0 4 1 0 4 2 4 2 4 3 1 0 3 1 4 2 0 1 4 2 3 0 1 2 0 4 
2014-11-06 Thu 11:16:03, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243763, 0.279, 340000, 33, 0, 0 2 2 3 4 1 0 0 4 1 3 1 2 1 3 2 3 4 1 0 2 4 3 3 3 0 3 0 1 1 4 0 0 4 0 1 0 0 2 3 3 2 4 1 0 4 3 0 1 1 1 2 3 2 0 3 2 4 3 1 0 4 4 3 3 2 2 2 0 2 0 4 2 1 0 2 2 3 3 4 4 2 3 0 1 3 3 4 2 0 0 0 4 1 3 1 3 4 4 2 1 4 2 0 1 0 3 0 2 4 1 1 2 0 1 4 3 0 1 2 1 4 2 2 0 
2014-11-06 Thu 11:16:05, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243764, 0.148, 140000, 13, 0, 0 0 3 1 4 1 2 2 2 0 4 2 2 0 0 4 2 1 1 3 0 1 1 4 1 2 4 0 3 1 2 2 3 4 1 2 4 0 0 1 0 4 0 3 0 3 4 2 1 3 3 4 2 0 4 4 4 3 2 1 1 1 2 1 1 3 3 3 4 3 2 3 1 4 4 3 0 2 3 1 2 0 1 3 4 4 1 1 2 4 0 2 4 1 4 3 2 3 0 1 4 1 3 0 3 2 2 2 2 4 0 1 4 2 0 1 4 1 0 2 2 1 3 0 2 
2014-11-06 Thu 11:16:13, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243766, 6.942, 10000000, 1000, 1, 1 0 1 0 3 1 2 2 2 3 3 2 2 1 1 1 2 0 1 4 3 0 0 4 0 1 3 0 0 4 4 1 0 0 0 2 1 3 3 3 3 3 4 3 3 4 0 2 0 2 1 4 2 4 3 2 3 1 2 1 3 0 2 4 0 3 2 1 3 2 1 4 0 1 2 2 0 2 4 0 1 4 0 1 2 3 0 0 2 1 3 2 4 0 4 1 2 4 4 4 4 0 4 3 4 2 2 2 0 4 1 0 3 2 3 4 3 1 0 2 2 0 3 1 3 
2014-11-06 Thu 11:20:50, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=0), 1415244044, 6.26, 10000000, 100, 2, 3 4 3 4 4 2 3 2 3 0 2 4 3 4 4 3 0 2 3 2 4 3 2 3 1 4 3 4 1 2 4 3 1 2 2 4 4 1 0 2 0 0 3 1 2 2 3 0 0 4 1 1 0 4 2 4 0 4 2 2 2 1 4 3 1 0 1 4 3 0 0 3 2 3 3 1 1 4 2 2 3 0 0 1 0 2 2 2 4 4 1 0 3 2 3 4 0 1 2 2 2 3 0 2 1 4 4 2 0 3 4 2 1 4 1 2 3 2 1 4 0 3 1 0 4 
2014-11-06 Thu 11:20:58, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=0), 1415244053, 5.712, 10000000, 100, 1, 2 1 4 4 3 4 2 2 3 1 2 4 0 4 0 3 4 0 4 1 0 3 2 4 0 4 2 2 3 4 4 3 2 2 2 4 2 2 2 3 1 1 1 4 2 3 2 2 0 0 3 1 3 1 2 1 3 3 4 0 0 0 0 0 1 1 0 4 2 0 0 0 1 3 2 0 1 4 0 3 3 0 4 2 2 1 2 3 4 2 2 4 3 1 3 4 0 1 3 0 4 0 0 1 0 4 4 2 0 3 4 0 1 2 1 3 2 2 1 1 4 0 1 4 1 
2014-11-06 Thu 11:21:07, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=0), 1415244060, 6.132, 10000000, 100, 1, 3 1 3 3 1 3 4 2 0 2 0 1 0 3 4 4 3 4 3 0 1 0 4 3 1 0 0 4 2 0 1 3 0 0 0 1 1 0 3 0 2 0 1 2 2 4 3 0 4 1 1 2 1 1 3 4 4 0 3 1 4 0 4 1 3 2 4 3 0 2 3 4 2 0 1 2 2 3 4 1 1 4 4 2 2 2 1 4 3 3 2 3 1 4 0 3 4 2 1 4 1 4 4 1 0 3 3 3 4 0 3 4 2 0 2 1 2 3 4 4 4 4 0 1 3 
2014-11-06 Thu 11:21:20, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=0), 1415244074, 6.652, 10000000, 100, 1, 1 1 0 3 0 0 0 0 4 1 4 1 3 1 3 3 4 3 1 2 2 0 0 0 3 0 3 3 2 1 0 0 2 3 2 1 1 1 1 0 4 2 4 2 2 4 0 3 3 3 1 0 0 1 0 3 2 1 0 4 2 4 3 4 4 0 3 1 1 2 1 4 2 4 1 4 3 0 2 3 0 2 0 1 3 4 0 3 0 1 2 1 1 3 0 0 4 2 2 2 2 3 2 1 4 0 0 3 2 2 1 3 2 4 3 4 4 4 2 4 3 3 2 1 1 
